id,rent_indicator,logit_int_rate,log_annual_inc,log_loan_amnt,dti,log_credit_age,tax_liens,forty_plus_indicator,loan_status
98476,1,-1.5320085568162443,11.082142548877775,9.210340371976184,25.4,9.464750005164392,0.0,Over Forty,1
106886,1,-1.4834956667073327,11.002099841204238,9.852194258148577,18.24,8.747510946478448,0.0,Over Forty,1
86118,1,-1.6731849812153599,10.778956289890028,8.881836305004146,20.75,8.771215062375383,0.0,Over Forty,1
104424,1,-1.6731849812153599,11.608235644774552,10.247077256926206,19.84,8.86120833720818,0.0,Over Forty,1
103588,1,-1.6731849812153599,11.198214720130528,9.169518377455928,12.58,8.839711378703475,0.0,Over Forty,1
69554,1,-1.4995007297488623,10.341742483467284,9.210340371976184,20.28,8.994668835500674,0.0,Over Forty,1
72454,1,-1.4165691253664827,9.740968623038354,8.517193191416238,19.62,9.063810579280286,0.0,Over Forty,1
94302,1,-1.4834956667073327,11.512925464970229,9.615805480084347,10.92,8.717845704894916,0.0,Over Forty,1
95112,1,-1.5320085568162443,10.085809109330082,8.977777598745481,21.7,8.952217101765946,0.0,Over Forty,1
93873,1,-1.466337068793427,10.308952660644293,8.517193191416238,20.28,8.928242677818302,0.0,Over Forty,1
66793,1,-1.5464471678152878,10.668955394675699,9.047821442478408,26.76,9.264449697623215,0.0,Over Forty,1
86683,1,-1.4834956667073327,11.121363262031055,9.210340371976184,24.3,8.737773460327283,0.0,Over Forty,1
67271,1,-1.6013000025157351,11.002099841204238,8.517193191416238,19.26,9.167641617443067,0.0,Over Forty,1
48688,1,-1.4995007297488623,10.51867319162636,9.210340371976184,25.82,8.830689198760998,0.0,Over Forty,1
72323,1,-1.4995007297488623,10.308952660644293,7.495541943884256,10.68,9.035272443893536,0.0,Over Forty,1
50701,1,-1.3670307318173636,11.246169571400625,9.104979856318357,33.9,8.544419177669829,0.0,Over Forty,1
86229,1,-1.5666114010435044,10.699304130942409,8.630521876723241,20.71,9.088285725968877,0.0,Over Forty,1
81063,1,-1.4834956667073327,10.714417768752456,9.210340371976184,11.25,8.624072553043334,0.0,Over Forty,1
59832,1,-1.2540491423061122,10.308952660644293,7.600902459542082,27.32,8.785386587284156,0.0,Over Forty,1
87769,1,-1.7104913212639152,11.156250521031495,8.699514748210191,27.67,9.081369990679223,0.0,Over Forty,1
77207,1,-1.4995007297488623,11.082142548877775,9.392661928770137,19.46,9.47654341275084,0.0,Over Forty,1
57237,1,-1.7174493134909512,10.839580911706463,9.116029692504942,18.14,9.317668949728708,0.0,Over Forty,1
85380,1,-1.3249254147435987,10.933106969717286,8.987196820661973,27.36,8.808070154764538,0.0,Over Forty,1
99277,1,-1.6368070220580113,11.289781913656018,9.798127036878302,15.39,8.839711378703475,0.0,Over Forty,1
99960,1,-1.4834956667073327,10.950806546816688,9.392661928770137,15.26,8.634620608292202,0.0,Over Forty,1
90828,1,-1.466337068793427,11.082142548877775,8.444622498581403,9.77,8.94832604627298,0.0,Over Forty,1
90405,1,-1.4834956667073327,10.126631103850338,8.460622839927844,15.7,8.722905701000768,0.0,Over Forty,1
106459,1,-1.5666114010435044,10.819778284410283,9.998797732340453,10.85,8.771215062375383,0.0,Over Forty,1
65006,1,-1.5464471678152878,10.819778284410283,8.517193191416238,18.62,8.671972245203792,0.0,Over Forty,1
86351,1,-1.5320085568162443,10.980195005816189,8.294049640102028,24.02,9.205026277152413,0.0,Over Forty,1
49994,1,-1.4165691253664827,10.933106969717286,9.615805480084347,9.64,9.049467146388098,0.0,Over Forty,1
109019,1,-1.466337068793427,10.691944912900398,9.680344001221918,32.7,8.830689198760998,0.0,Over Forty,1
64160,1,-1.6671838950155093,10.22990945330384,9.047821442478408,17.58,9.164401140034737,0.0,Over Forty,1
108413,1,-1.5320085568162443,11.608235644774552,8.85366542803745,17.27,9.154827662045925,0.0,Over Forty,1
50771,1,-1.6671838950155093,10.621327345686446,9.392661928770137,29.36,8.775858314797526,0.0,Over Forty,1
105200,1,-1.466337068793427,10.645424897265505,8.922658299524402,6.23,8.561592778712923,0.0,Over Forty,1
100783,1,-1.4467645785509342,11.350406535472453,8.881836305004146,10.63,8.886962034866128,0.0,Over Forty,1
82258,1,-1.5320085568162443,10.308952660644293,7.90100705199242,24.0,8.848509300888079,0.0,Over Forty,1
94666,1,-1.6368070220580113,10.839580911706463,8.094073148069352,24.32,8.987071812848821,0.0,Over Forty,1
67614,1,-1.3670307318173636,11.289781913656018,9.035986984831405,22.95,8.821732380934442,0.0,Over Forty,1
50172,1,-1.7174493134909512,11.109757715910748,9.72913416539135,22.79,8.967759126769497,0.0,Over Forty,1
102800,1,-1.6731849812153599,10.46310334047155,8.987196820661973,15.6,9.038958755220563,0.0,Over Forty,1
104543,1,-1.355945837662584,10.155101935826032,8.764053269347762,30.23,8.821732380934442,0.0,Over Forty,1
88196,1,-1.5320085568162443,10.809727948556782,8.987196820661973,27.39,8.771215062375383,0.0,Over Forty,1
91413,1,-1.6731849812153599,10.645424897265505,9.090993614343617,17.26,9.186355009225672,0.0,Over Forty,1
97233,1,-1.6368070220580113,10.596634733096073,8.517193191416238,3.24,8.852807917623322,0.0,Over Forty,1
54093,1,-1.5464471678152878,10.580403719985656,8.160518247477505,16.56,8.803874763534434,0.0,Over Forty,1
46385,1,-1.437066686493314,11.03488966402723,9.998797732340453,18.72,9.226115291091546,0.0,Over Forty,1
51508,1,-1.6671838950155093,11.512925464970229,10.46310334047155,9.38,9.207837241758064,0.0,Over Forty,1
91403,1,-1.4467645785509342,10.373491181781864,8.62155320674048,22.37,8.36985260351753,0.0,Over Forty,1
74493,1,-1.7174493134909512,10.645424897265505,9.457200449907708,16.03,8.994668835500674,0.0,Over Forty,1
100476,1,-1.7104913212639152,11.608235644774552,9.25674674479034,12.5,8.826294231241318,0.0,Over Forty,1
83075,1,-1.466337068793427,10.630190391624284,9.491752831414368,22.31,9.217018026729423,0.0,Over Forty,1
55029,1,-1.2540491423061122,11.26446410567173,10.333645273234664,16.88,8.74257423767064,0.0,Over Forty,1
64694,1,-1.4165691253664827,11.652687407345388,9.903487552536127,18.54,8.839711378703475,0.0,Over Forty,1
44445,1,-1.47951954599461,10.858998997563564,9.615805480084347,10.96,8.86120833720818,0.0,Over Forty,1
74799,1,-1.3670307318173636,11.141861783579396,10.085809109330082,20.05,8.613048677059759,0.0,Over Forty,1
83813,1,-1.403887174753648,10.879555488446144,8.919319398258887,21.43,8.79920924224139,0.0,Over Forty,1
97319,1,-1.6368070220580113,11.314474526246391,9.903487552536127,19.69,8.932212512329214,0.0,Over Forty,1
74521,1,-1.5464471678152878,10.491274217438248,9.305650551780507,19.47,9.360483030405902,0.0,Over Forty,1
68060,1,-1.3370233121131079,11.05089000537367,7.24422751560335,18.78,9.122164681072457,0.0,Over Forty,1
53383,1,-1.7174493134909512,11.03488966402723,10.224664844121703,20.17,8.920121751872404,0.0,Over Forty,1
83470,1,-1.4834956667073327,10.203592144986466,9.07680897935166,23.87,9.35781165133439,0.0,Over Forty,1
90333,1,-1.7104913212639152,10.308952660644293,9.035986984831405,23.84,8.852807917623322,0.0,Over Forty,1
76136,1,-1.3670307318173636,11.03488966402723,9.798127036878302,23.94,8.895355616996392,0.0,Over Forty,1
78688,1,-1.2891306126662427,10.46310334047155,8.174702882469461,26.78,8.869960510523953,0.0,Over Forty,1
104148,1,-1.5320085568162443,10.126631103850338,9.027018314848645,7.06,8.561592778712923,0.0,Over Forty,1
60791,1,-1.4995007297488623,11.695247021764184,9.706559843352812,6.67,9.00565049932022,0.0,Over Forty,1
83130,1,-1.6731849812153599,10.445782773171514,9.143131622282732,25.81,9.031692060548524,0.0,Over Forty,1
71790,1,-1.148298533861052,10.46310334047155,8.160518247477505,27.12,8.89959435992585,0.0,Over Forty,1
94639,1,-1.6731849812153599,10.645424897265505,8.987196820661973,14.11,9.423999084079178,0.0,Over Forty,1
89887,1,-1.4834956667073327,11.863582336583399,8.699514748210191,32.23,9.101863895640099,0.0,Over Forty,1
63737,1,-1.3670307318173636,10.858998997563564,8.740336742730447,8.79,8.311889558230359,0.0,Over Forty,1
74301,1,-1.6671838950155093,11.002099841204238,8.517193191416238,26.38,8.785386587284156,0.0,Over Forty,1
45843,1,-1.437066686493314,10.714417768752456,8.070906088787819,28.85,8.920121751872404,0.0,Over Forty,1
61353,1,-1.6013000025157351,10.021270588192511,8.086410275323782,18.76,8.296795865770052,0.0,Under Forty,1
54401,1,-1.6013000025157351,9.852194258148577,8.630521876723241,20.02,8.601901919343192,0.0,Under Forty,1
105786,1,-1.5666114010435044,11.127262984158243,9.210340371976184,21.34,8.963800242855577,0.0,Under Forty,1
60638,1,-1.3159074079167605,10.491274217438248,9.615805480084347,20.5,8.682368589375221,0.0,Under Forty,1
48179,1,-1.726779349496423,11.350406535472453,9.40713994795079,1.47,9.325809621782296,0.0,Under Forty,1
92152,1,-1.6368070220580113,10.896739325546411,9.615805480084347,8.92,8.903679332926599,0.0,Under Forty,1
91001,1,-1.4834956667073327,11.385092093460344,8.987196820661973,16.08,8.74257423767064,0.0,Under Forty,1
103029,1,-1.5320085568162443,10.367221568768269,9.314700387300425,22.53,8.785386587284156,0.0,Under Forty,1
67004,1,-1.7174493134909512,10.714417768752456,9.210340371976184,10.67,8.826294231241318,0.0,Under Forty,1
87726,1,-1.7104913212639152,10.4341158035983,9.367344120785848,29.05,9.04617302576227,0.0,Under Forty,1
74306,1,-1.6671838950155093,10.915088464214607,7.495541943884256,26.07,9.016876974763383,0.0,Under Forty,1
105275,1,-1.6368070220580113,10.596634733096073,8.85366542803745,6.48,8.629092283913646,0.0,Under Forty,1
97613,1,-1.266832255103035,11.184421397998193,9.270964993792617,17.65,9.101863895640099,0.0,Under Forty,1
70308,1,-1.5464471678152878,11.512925464970229,9.249561085129464,30.92,8.821732380934442,0.0,Under Forty,1
64702,1,-1.4995007297488623,10.668955394675699,9.210340371976184,10.27,8.76170676846664,0.0,Under Forty,1
108313,1,-1.466337068793427,10.203592144986466,9.047821442478408,34.89,8.601901919343192,0.0,Under Forty,1
104825,1,-1.466337068793427,10.819778284410283,8.881836305004146,3.82,8.967759126769497,0.0,Under Forty,1
48995,1,-1.5464471678152878,10.714417768752456,9.423433587436891,11.68,8.987071812848821,0.0,Under Forty,1
104923,1,-1.5320085568162443,10.203592144986466,9.153770020487789,20.71,8.74257423767064,0.0,Under Forty,1
79185,1,-1.7174493134909512,10.545341438708522,9.521494800613105,31.52,8.64541048921699,0.0,Under Forty,1
